,programTitle,infoCat,region,url,description,organization,contact,page
1024,['Stream Bank Protection'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/land_and_environment/environmental_sustainability/stream_bank_protection.html'],['\nStream bank protection is the process of placing material along a bank of a watercourse for the purpose of erosion control to prevent the loss of bank material and property adjacent to the banks of the watercourse.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7978\n1-506-453-2108\n1-888-622-4742\n'],27
1025,['Strengthening Farming Program'],['Guides/Information'],[],['http://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/agricultural-land-and-environment/strengthening-farming'],['\nPromotes strong working relationships between local and provincial governments and the farming community.\xa0 The program supports fair resolution of land use conflicts and effective community planning for a sustainable agriculture and aquaculture industry in British Columbia.\n'],['\nBC Ministry of Agriculture\n'],['\n\nhttp://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/agriculture-and-seafood/agricultural-land-and-environment/strengthening-farming/agri-team_contacts_2016_sept.pdf\n\n1-604-556-3001\n1-888-221-7141\n'],27
1026,['Stretching Feed When Supplies are Tight'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/livestock/beef/stretching-feed-supplies-to-make-it-to-grass-season.html'],"['\nWhen cattle producers face low feed supplies, different options for wintering cows need to be considered.\n']",['\nManitoba Agriculture and Resource Development\n'],['\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],27
1027,['Submit photo for Celebrate PEI Agriculture Photo Contest'],[],[],['https://www.princeedwardisland.ca/en/service/submit-photo-for-celebrate-pei-agriculture-photo-contest'],['\nOne photo will be selected by popular vote from the category winners during Old Home Week(link is external). The winning photographer will receive a grand prize valued at $500.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-368-4880\n1-866-734-3276\n\nDeptAgLand@gov.pe.ca\n\n'],27
1028,"['Subscribe to E-mail Notices, Updates, Blogs and Podcasts']",['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/subscribe/index.html'],"['List of agricultural e-mail notices, updates, blogs and podcasts.']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\xa0\n\n1-877-424-1300\n'],27
1029,['Summary of Research on Feeding Low Test Weight Corn to Pigs'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/swine/facts/info_n_summary.htm'],['\nSummary of research on feeding low test weight corn to pigs\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1030,['Summer Seeding Forages'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/summer_forages.htm'],['\nInformation on summer seeding forages.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1031,['Summerland Research and Development Centre'],[],[],['https://profils-profiles.science.gc.ca/en/research-centre/summerland-research-and-development-centre'],"['\nThe mission of the Summerland Research Centre is to generate knowledge and technologies to promote sustainable and economically viable production of wholesome foods and novel bioproducts from high-value horticultural crops for local, national and international producers and markets. Summerland is the home of the Canadian Plant Virus Collection which consists of freeze-dried and live viruses maintained in perennial plants.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.summerlandrdc-crdsummerland.aac@agr.gc.ca\n\n1-250-494-7711\n1-613-773-2600\n'],27
1032,['Sunscald and Bronzing in Dry Edible Beans'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/weather/bronzinginbeans.htm'],['\nInformation on sun scald and bronzing in dry edible beans\n'],[],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n']",27
1033,['Supplemental Boost For Cows'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/dairy/facts/boost.htm'],['\nInformation on supplemental boost for cows.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1034,['Supply Management Processing Investment Fund'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund'],"['\nThe program provides non-repayable contributions to support investments in dairy, poultry, and egg processing facilities that improve productivity and/or efficiency through the purchase of new automated equipment and technology.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-877-246-4682\n1-613-773-2600\n\naafc.smpif-fitpgo.aac@agr.gc.ca\n\n'],27
1035,['Support Program for Improving Agroenvironmental Practises and Profitability in the Apple Industry'],[],[],['https://www.fadq.qc.ca/en/support-program-for-improving-agroenvironmental-practises-and-profitability-in-the-apple-industry/'],"['\nThe support program for the apple sector aimed at improving profitability and agri-environmental practices aims to support the development of the apple sector with a view to sustainable development, in complementarity with other government aid offered to this sector.\n']",['\nLa Financière agricole du Québec\n'],['\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],27
1036,['Support Program for the Eradication of Chronic Wasting Disease in Cervids'],[],[],['https://www.fadq.qc.ca/en/support-program-for-the-eradication-of-chronic-wasting-disease-in-cervids/description/'],['\nThis program offers financial aid to cervid producers affected by the measures taken to eradicate CWD.\n'],['\nLa Financière agricole du Québec\n'],['\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],27
1037,['Support for Biofood Exports'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Transformation/md/programmesliste/developpementmarches/Pages/Soutien-aux-exportations-bioalimentaires.aspx'],['\nSupport for biofood exports (SEB) is aimed at accelerating the development projects of Québec biofood companies outside Quebec.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-800-563-9767\n\nseb@groupexport.ca\n\n'],27
1038,['Support for Conversion to Organic Farming'],[],[],['http://www.mapaq.gouv.qc.ca/fr/Productions/md/programmesliste/agriculturebiologique/Pages/agrbiologique.aspx'],['\nStimulating the development of organic production and the conversion of non-organic farming to organic farming.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n'],27
1039,['Support for Entrepreneurs and Economic Development (SEED)'],[],[],['https://www.iti.gov.nt.ca/en/services/support-entrepreneurs-and-economic-development-seed'],"['\nFinancial support to applicants to start businesses, improve their capacity or skills and help communities expand their economy.\n']","['\nNorthwest Territories Department of Industry, Tourism and Investment\n']","['\nSouth Slave\n1-867-872-8046\n', '\nSahtu\n1-867-587-7171\n', '\nNorth Slave (Yellowknife)\n1-867-767-9212\n', '\nNorth Slave (Behchokǫ̀)\n1-867-392-6119\n', '\nBeaufort Delta\n1-867-777-7196\n', '\nDehcho\n1-867-695-7500\n']",27
1040,['Support for Producers'],['Guides/Information'],[],['https://www.mapaq.gouv.qc.ca/fr/Productions/Agroenvironnement/mesuresappui/Pages/mesuresappui.aspx'],['\nAgri-Environment contributes to the sustainable development of agriculture through its environmentally responsible practices. Tools and support are available to help agricultural producers adopt these practices.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-888-222-6272\n'],27
1041,['Support for the Development of Agriculture and Agri-Food in the Regions'],[],[],['http://www.mapaq.gouv.qc.ca/fr/Productions/md/programmesliste/developpementregional/Pages/appuiagroalimentaireregion.aspx'],['\nThis program supports agri-food enterprise adaptation to a context of market openness and access. It is also aimed at mobilizing local development players around collaborative and collective projects and showcase the economic potential of the biofood industry.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n'],27
1042,['Support for the Development of Reserved Designations and Added-Value Claims'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Transformation/md/programmesliste/developpementmarches/Pages/appuiaudeveloppementappellationsreservees.aspx'],"['\nEfficiently supporting groups or associations of companies in the bio-food sector in the implementation of reserved designation or added-value claim projects and ensuring their sustainability, with a view to contributing to the development of a sector of activity or a region.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n\nprogrammes.dmor@mapaq.gouv.qc.ca\n\n'],27
1043,['Support for the Purchase of a First Commercial Fishing Business'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Peche/md/Programmes/Pages/Progachatpremiereentreprisedepeche.aspx'],"['\nThis program provides financial support to promote the acquisition of a first commercial fishing enterprise by fishers, including those of the next generation.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-888-222-6272\n'],27
1044,['Supporting Business'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/topic/supporting-business'],"['\nGrowth and diversity of business and industry is the stronghold of the Prince Edward Island economy. Experienced guidance, financial assistance and strategic infrastructure can be available to support entrepreneurship, innovation and global success.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-314-1607\n1-866-734-3276\n\nlormackinnon@gov.pe.ca\n\n'],27
1045,['Surface Drainage'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/land_and_environment/environmental_sustainability/surface_drainage.html'],['\nSurface drainage is the orderly removal of excess water from the surface of land through improved natural channels or constructed ditches and through shaping of the land.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7978\n1-506-453-2108\n1-888-622-4742\n'],27
1046,['Surveillance'],[],[],['https://cap.alberta.ca/CAP/program/SURVEILLANCE'],"['\nThe purpose of the Surveillance Program is to close gaps in surveillance in order to increase the early detection of existing and emerging livestock diseases, crop pests, bee pests, foodborne hazards, and other risks affecting plant, animal, and public health.\n']",['\nAlberta Department of Agriculture and Forestry\n'],"['\nDrew Hiltz - Animal Health\n\nDrew.Hiltz@gov.ab.ca\n\n1-780-427-8228\n', '\nTanya Warren - Plant health\n\nTanya.Warren@gov.ab.ca\n\n1-780-643-9486\n', '\nFood Safety\n\nCAP.foodsafety@gov.ab.ca\n\n']",27
1047,['Surveillance and Emergency Management Sub-Program'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/surveillance-and-emergency-management-sub-program'],['\nThe Surveillance and Emergency Management Initiative Sub-Program will provide support for surveillance and emergency management plans.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n\nassurance@gov.pe.ca\n\n1-902-368-4857\n1-902-368-4880\n1-866-734-3276\n'],27
1048,['Survey of Ontario Custom Farmwork Rates charged in 2018'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/2018customrates.htm'],['\nSurvey results of rates charged in 2018 by 200 Ontario custom farmwork operators are summarized on a provincial basis and also by 6 smaller regional areas.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1049,['Survey of Pesticide Use in Ontario'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/pesticide-use.htm'],"['\nEstimates of pesticides used on field crops, fruit and vegetable crops, and other Agricultural Crops\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1050,"['Sustainability in PEI Agriculture, Aquaculture and Fisheries']",[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/sustainability-pei-agriculture-aquaculture-and-fisheries'],"['\nThe Department of Agriculture and Land and the Department of Fisheries and Communities maintain policies and programs to ensure the actions of the present day do not diminish the ability of future generations to provide for their needs, maintain their health, and enjoy their lives.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-314-1607\n1-866-734-3276\n\nDeptAgLand@gov.pe.ca\n\n'],27
1051,['Sustainable Agricultural Land Management around Wetlands on the Canadian Prairies'],['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/soil-and-land/sustainable-agricultural-land-management-around-wetlands-canadian-prairies'],['\nLand management recommendations to maximize agricultural production goals and wetland ecological functions.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n'],27
1052,['Sustainable Growth Investment'],[],[],['https://www.fadq.qc.ca/en/sustainable-growth-investment/description/'],"['\nThis program was put in place for farmers who have projects to put forward, regardless of their production sector or which life cycle their business is in. It aims to support productive and sustainable investments.\n']",['\nLa Financière agricole du Québec\n'],['\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],27
1053,['Sustainable Management of Nutrients on the Landscape for In-field Livestock Winter Feeding Systems'],['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/soil-and-land/soil-nutrients/sustainable-management-nutrients-landscape-field-livestock-winter-feeding-systems'],"['\nWhile the focus here is primarily on sustainable management of nutrients on the landscape, producers should consider all aspects of their in-field winter feeding system before making any changes.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n'],27
1054,['Sustainable Protein Action Framework'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/protein/sustainability/index.html'],['\nManitoba recognizes the important balance of maintaining strict environmental oversight while supporting sustainable growth in the livestock industry.\xa0\n'],['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n'],27
1055,['Swift Current Research and Development Centre'],[],[],['https://profils-profiles.science.gc.ca/en/research-centre/swift-current-research-and-development-centre'],"[""\nThe Centre's mandate is to address severe drought, erosion, frost, pests, and crop disease related problems, and to provide support to the expanding settlements in the region characterized by a semi-arid climate.\n""]",['\nAgriculture and Agri-Food Canada\n'],"['\nSwift Current, Saskatchewan\n\naafc.swiftcurrentrdc-crdswiftcurrent.aac@agr.gc.ca\n\n1-306-770-4400\n1-613-773-2600\n']",27
1056,['Swine'],['Guides/Information'],[],['https://www.gov.nl.ca/ffa/programs-and-funding/programs/animals/livestock/swine/'],['\nInformation on commercial swine production in Newfoundland and Labrador.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2589\n1-709-637-2077\n'],27
1057,['Swine - Health Management and Biosecurity'],[],[],['http://www.omafra.gov.on.ca/english/livestock/swine/health.html'],['\nInformation for Ontario pork producers on swine health management and biosecurity.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],27
1058,['Swine Importation Permits'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/swine-importation-permits'],['\nHaving a Swine Importation Permit helps prevent the introduction of swine diseases not currently found on Prince Edward Island.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-368-4880\n1-866-734-3276\n\nDeptAgLand@gov.pe.ca\n\n'],27
1059,['Table Potatoes'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/crops/potatoes/table_potatoes.html'],['\nInformation on New Brunswick table potatoes.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-392-5102\n1-506-392-5199\n1-888-622-4742\n'],27
1060,['Tailgate Talks'],['Guides/Information'],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/tailgate-talks'],['\nTailgate Talks is a video series produced by Department of Agriculture and Land to showcase our important agriculture industry on PEI.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-314-1607\n1-866-734-3276\n1-902-368-4857\n\nDeptAgLand@gov.pe.ca\n\n'],27
1061,['Take an Accurate Hay Sample'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/info_haysamp.htm'],['\nInformation on taking an accurate hay sample.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],27
1062,['Taking Stock: Self Assessment Tool'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/business-market-development/agrifood-business-management/taking-stock'],"['\nThe Taking Stock workbook will assess your farm management systems, knowledge, and skills.\n']",['\nBC Ministry of Agriculture\n'],['\n\nAgriServiceBC@gov.bc.ca\n\n1-888-221-7141\n'],27
1063,['Tarnished Plant Bug'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/crops/potatoes/tarnished_plant_bug.html'],['\nInformation on the tarnished plant bug.\xa0\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-392-5102\n1-506-392-5199\n1-888-622-4742\n'],27
1064,['Tarnished Plant Bug Damage on Vegetable Crops in Ontario'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/98-025.htm'],"['\nThis Factsheet will summarize symptoms of damage, monitoring guidelines and management options for several vegetable crops\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1065,['Tarnished Plant Bugs'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/IPM/english/apples/insects/tarnished-plant-bug.html'],['\nInformation on tarnished plant bugs and apples.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1066,['Tax Information for Farmers'],[],[],['https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/farm-business-management/tax-information-for-farmers'],['\nInformation on the application of tax and tax programs available to Saskatchewan farmers.\n'],['\nSaskatchewan Ministry of Agriculture\n'],['\n1-306-694-3727\n1-800-667-6102\n1-306-694-3938\n\nSaskTaxInfo@gov.sk.ca\n\n'],27
1067,['Taxation on the Sale of Farm Business Assets'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/facts/16-031.htm'],['\nThis Factsheet provides information to farmers who are considering the sale of their farming assets.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],27
1068,['Taxation on the Transfer of Farm Business Assets to Family Members'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/facts/16-039.htm'],['\nThis factsheet deals with the tax implications of transferring farm assets to family members and the options available to minimize tax.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1069,['Tea and Herbal Association of Canada'],[],[' Across Canada '],['https://www.tea.ca/'],['\nRepresents the Canadian tea and herbal industry.\n'],['\nTea and Herbal Association of Canada\n'],"['\n25 Adelaide St. East, Suite 711, Toronto, ON, M5C 3A1\n\ninfo@tea.ca\n\n1-416-510-8647\n']",27
1070,['Teacher Resources'],[],[],['http://novascotia.ca/agri/programs-and-services/educational-resources/teacher-resources/'],"['\nProvides guides, handbooks, and support for classroom activities for teachers at all grade levels.\n']",['\nNova Scotia Department of Agriculture\n'],['\n\nageducation@novascotia.ca\n\n1-902-424-4671\n1-902-424-4560\n1-800-279-0825\n'],27
1071,['Techno-Economic Studies Support Program'],[],[],['https://www.fadq.qc.ca/en/techno-economic-studies-support-program/description-of-the-techno-economic-studies-support-program/'],['\nThis program aims to enable La Financière agricole du Québec (FADQ) to financially support associations of agricultural producers in sectors not covered by the Farm Income Stabilization Insurance Program (ASRA) or supply management for the a technical and economic portrait relating to their production activity.\n'],['\nLa Financière agricole du Québec\n'],['\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],27
1072,['Techno-economic profile support program'],[],[],['https://www.fadq.qc.ca/en/techno-economic-profile-support-program/description-of-the-techno-economic-profile-support-program/'],['\nThis program aims to help La Financière agricole du Québec (FADQ) financially support agricultural producer associations in sectors not covered by the Income Stabilization Insurance (ASRA) program or by supply management for the realization of techno-economic studies in their area of activity.\n'],['\nLa Financière agricole du Québec\n'],['\n1-800-749-3646\n1-418-833-3871\n\nhttps://www.fadq.qc.ca/en/contact-us/#centre-de-services\n\n'],27
1073,['Technologies for Value-Added Agriculture'],[],[],['https://novascotia.ca/programs/technologies-for-value-added-agriculture/'],"['\nThe Technologies for Value-Added Agriculture program supports agricultural producers and processors who want to advance their operations through innovation, efficiency and quality improvements.\xa0\n']",['\nNova Scotia Department of Agriculture\n'],['\n1-902-893-6377\n1-866-844-4276\n1-902-893-7579\n'],27
1074,['Technology Transfer Program'],[],[],['https://www.ontariobee.com/outreach/ttp'],"['\nConduct research for Ontario’s beekeeping industry, to facilitate a honey bee breeding program in Ontario and to transfer information, skills and methodologies to the beekeepers.\n']","[""\nOntario Beekeepers' Association\n""]",['\n905-636-0661\n905-636-0662\n\nhttps://www.ontariobee.com/inside-oba/contact-us\n\n'],27
1075,['Technology Transfer and Licensing'],[],[' Across Canada '],['https://agriculture.canada.ca/en/scientific-collaboration-and-research-agriculture/technology-transfer-and-licensing-agriculture'],['\nGenerating new ideas and turning them into useful products for Canadians is a priority for Agriculture and Agri-Food Canada. We partner with industry to bring new technologies to the market.\xa0\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.info.aac@agr.gc.ca\n\n1-613-773-1081\n1-613-773-2600\n1-855-773-0241\n'],27
1076,['Technology and Science Adoption Sub-Program'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/technology-and-science-adoption-sub-program'],"['\nThe Technology and Science Adoption Sub-Program will support the adoption and/or implementation of best practices, new technologies, and processes that will improve efficiency and profit margins.\xa0\xa0\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n\narip@gov.pe.ca\n\n1-902-368-4857\n1-902-368-4880\n1-866-734-3276\n'],27
1077,['Temporary Field Storage of Non-Agricultural Source Material (NASM)'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/engineer/facts/16-001.htm'],['\nThe information in this factsheet is provided for informational purposes only and should not be relied upon to determine legal obligations.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1078,['Tent Caterpillars'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/IPM/english/apples/insects/tent-caterpillars.html'],['\nInformation on tent caterpillars and apples.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],27
1079,['Terrace'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/land_and_environment/environmental_sustainability/terrace.html'],"['\nTerraces are earth embankments, channels or combination of embankment and channels constructed across the slope to reduce the slope length at suitable spacing and with acceptable grades.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7978\n1-506-453-2108\n1-888-622-4742\n'],27
1080,['Terrestrial Animal Health'],['Guides/Information'],[' Across Canada '],['https://www.inspection.gc.ca/animals/terrestrial-animals/eng/1300386686425/1300387824030'],"[""\nPrograms and services to mitigate risks associated with animal diseases and to protect the health of Canada's animal resources.\n""]",['\nCanadian Food Inspection Agency (CFIA)\n'],"['\n1400 Merivale Road, Ottawa, ON, K1A 0Y9\n613-773-2342\n1-800-442-2342\n1-800-465-7735\n']",27
1081,"['Territories Program: Next Generation, Entrepreneurship and Small-Scale Businesses']",[],[],['https://www.mapaq.gouv.qc.ca/fr/Productions/md/programmesliste/developpementregional/Pages/ProgrammeTerritoires-Releveentrepreneuriatetentreprisesdepetitetaille.aspx'],['\nThis program aims to ensure the attractiveness of the regions and the dynamism of the bio-food sector in all regions of Quebec.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-888-222-6272\n'],27
1082,['Territories: Land Drainage and Liming'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Productions/md/programmesliste/developpementregional/Pages/Soutiendrainagechaulageterres.aspx'],"['\nThis program aims to improve productivity and enhance the value of land with cultivation potential by increasing the drained and limed areas in the Bas-Saint-Laurent, Côte-Nord, Saguenay-Lac-Saint-Jean, Abitibi-Témiscamingue and Nord-du-Québec regions.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n'],27
1083,['Testing Farm Drinking Water'],['Guides/Information'],[],['https://www.alberta.ca/testing-farm-drinking-water.aspx'],"['\nIt is critical to monitor your water quality by having it tested at an accredited laboratory, to determine if it is safe to drink.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n1-403-742-7901\n310-3276\n\naginfocentre@gov.ab.ca\n\n'],27
1084,['Testing Stream — Open Calls for Innovative Prototypes'],[],[' Across Canada '],['https://www.ic.gc.ca/eic/site/101.nsf/eng/00124.html'],['\nWe are seeking pre-commercial innovative prototypes that can be tested in real life settings and address a variety of priorities within the Government of Canada.\n'],"['\nInnovation, Science and Economic Development Canada\n']",['\n1-613-954-5031\n1-800-328-6189\n1-866-694-8389\n\nsolutions@canada.ca\n\n\nhttps://www.ic.gc.ca/eic/site/101.nsf/frm-eng/LCOE-BEZHPN\n\n'],27
1085,['The Agri-Tech Commercialization Centre (ATCC)'],[],[],['http://www.agritechcentre.ca/index.cfm?page=about'],"['\nProvides a single access point for specialized commercialization and innovation services to entrepreneurs, researchers and existing businesses in order to accelerate the pace of innovation and facilitate the adoption of new technologies.\n']",['\nThe Agri-Tech Commercialization Centre (ATCC)\n'],['\n\ninfo@agritechcentre.ca\n\n1-519-821-2960\n1-866-464-4524\n'],27
1086,"['The Alliance of Crop, Soil, and Environmental Science Societies']",[],[' Across Canada '],['https://dl.sciencesocieties.org'],"['\nThe Alliance of Crop, Soil, and Environmental Science Societies (ACSESS) is an association of prominent international scientific societies headquartered in Madison, Wisconsin, USA.\n']","['\nThe Alliance of Crop, Soil, and Environmental Science Societies\n']",['\n1-608-273-2021\n1-608-273-8080\n'],27
1087,['The Best Time to Buy or Lease Farmland'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/business-and-economics/business-management/best-time-to-buy-or-lease-farmland.html'],"['\nIf you decide to purchase land, a big question for many producers right now is deciding on the best time to buy farmland.\n']",['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagriculture@gov.mb.ca\n\n'],27
1088,['The Building Rent Calculator'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/calc_bldgrent.htm'],['\nThis program will help you calculate a fair rent for your building.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1089,['The Canadian Agricultural Partnership: Cost-Share Funding'],[],[],['http://www.omafra.gov.on.ca/english/cap/placetogrow.html'],"['\nThe Canadian Agricultural Partnership (the Partnership) provides cost-share funding support to farmers and other businesses (plant health). Funding is available for key priority areas, which include: research and innovation, economic development, environmental stewardship and protection and assurance.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1090,['The Canadian Farm Learning Centre'],[],[' Across Canada '],['https://canadianfarmlearningcentre.com/'],['\nThe Canadian Farm Learning Centre is an online tool created to assist farm business owners in furthering their knowledge and understanding of farm financial management matters.\n'],['\nCanadian Farm Learning Centre\n'],['\n306-867-8669\n1-888-306-3327\n\nhttps://canadianfarmlearningcentre.com/about-us/contact-us/\n\n'],27
